"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,0,-180,-17.8794026290149
6,0,-175,-17.5513875300973
6,0,-170,-16.6759026058419
6,0,-165,-15.5611313641803
6,0,-160,-14.4855031191716
6,0,-155,-13.591242985188
6,0,-150,-12.9393339913583
6,0,-145,-12.603550156954
6,0,-140,-12.7012521709138
6,0,-135,-13.3211902441192
6,0,-130,-14.3191552098871
6,0,-125,-14.9634443394778
6,0,-120,-14.3211602697663
6,0,-115,-12.7817948986482
6,0,-110,-11.2771362314307
6,0,-105,-10.1456824719791
6,0,-100,-9.36250915903918
6,0,-95,-8.81240892164426
6,0,-90,-8.39320478630502
6,0,-85,-8.05592449746651
6,0,-80,-7.81922965530233
6,0,-75,-7.75876696082082
6,0,-70,-7.96806997787607
6,0,-65,-8.47963304106388
6,0,-60,-9.07091943648699
6,0,-55,-8.93318838943805
6,0,-50,-7.21870544894846
6,0,-45,-4.49449847821846
6,0,-40,-1.72982589226777
6,0,-35,0.69298174388967
6,0,-30,2.71109557607308
6,0,-25,4.34609842436569
6,0,-20,5.63218232678219
6,0,-15,6.59945675807641
6,0,-10,7.27119377975101
6,0,-5,7.66408340127308
6,0,0,7.78872831380519
6,0,5,7.64962049488692
6,0,10,7.24444825669075
6,0,15,6.56301202530438
6,0,20,5.58643292440096
6,0,25,4.28753022788825
6,0,30,2.63341426336105
6,0,35,0.593316176583456
6,0,40,-1.83554945035625
6,0,45,-4.53970465496123
6,0,50,-7.0635682081028
6,0,55,-8.5408547660747
6,0,60,-8.7147768042899
6,0,65,-8.36234201071021
6,0,70,-8.09254383289586
6,0,75,-8.05365947467929
6,0,80,-8.19481098822514
6,0,85,-8.42824590118204
6,0,90,-8.70765583121635
6,0,95,-9.06141130220719
6,0,100,-9.58433845678983
6,0,105,-10.4048660929268
6,0,110,-11.6449121612271
6,0,115,-13.335338062268
6,0,120,-15.1236483764973
6,0,125,-15.8704278636834
6,0,130,-15.009939313161
6,0,135,-13.7492880711964
6,0,140,-12.9886939981392
6,0,145,-12.89265492138
6,0,150,-13.3362514305738
6,0,155,-14.0996841238164
6,0,160,-14.9875710002058
6,0,165,-15.9101930868597
6,0,170,-16.8205802494932
6,0,175,-17.5686435995644
6,0,180,-17.8794026290149
