"Freq [GHz]","dB(VSWR(1)) []"
4,25.0408600408959
4.02,25.0657784171965
4.04,25.0803650162293
4.06,25.0848634573401
4.08,25.0795553737996
4.1,25.0647560864246
4.12,25.0408100604853
4.14,25.008086253339
4.16,24.9669734543147
4.18,24.9178757093595
4.2,24.8612079116112
4.22,24.7973916261605
4.24,24.7268512035882
4.26,24.6500102230902
4.28,24.5672882927307
4.3,24.4790982220577
4.32,24.385843571306
4.34,24.2879165719181
4.36,24.1856964052363
4.38,24.0795478199546
4.4,23.9698200642035
4.42,23.8568461048539
4.44,23.7409421045934
4.46,23.6224071263796
4.48,23.5015230348239
4.5,23.3785545647106
4.52,23.2537495280618
4.54,23.1273391327429
4.56,22.9995383874507
4.58,22.8705465699193
4.6,22.7405477372236
4.62,22.6097112590897
4.64,22.4781923570798
4.66,22.3461326343656
4.68,22.2136605825122
4.7,22.0808920532533
4.72,21.9479306846265
4.74,21.8148682720747
4.76,21.6817850761829
4.78,21.548750059642
4.8,21.4158210467978
4.82,21.2830447997802
4.84,21.1504570057169
4.86,21.0180821699268
4.88,20.8859334102737
4.9,20.7540121480495
4.92,20.6223076908465
4.94,20.4907967028893
4.96,20.3594425582285
4.98,20.2281945720498
5,20.096987105141
5.02,19.9657385362829
5.04,19.8343500969952
5.06,19.7027045626876
5.08,19.5706647938539
5.1,19.438072120506
5.12,19.3047445626207
5.14,19.1704748789718
5.16,19.0350284364034
5.18,18.8981408914139
5.2,18.759515675934
5.22,18.6188212794983
5.24,18.4756883207394
5.26,18.3297064024324
5.28,18.1804207463734
5.3,18.0273286074344
5.32,17.8698754704766
5.34,17.7074510398027
5.36,17.5393850389074
5.38,17.3649428489812
5.4,17.1833210285441
5.42,16.9936427744875
5.44,16.7949534075098
5.46,16.5862159934286
5.48,16.3663072472106
5.5,16.1340139099459
5.52,15.8880298416397
5.54,15.6269541357953
5.56,15.3492906364148
5.58,15.0534493250435
5.6,14.7377501451044
5.62,14.4004299424055
5.64,14.0396533223731
5.66,13.6535283522122
5.68,13.2401281627521
5.7,12.7975196189068
5.72,12.3238003124756
5.74,11.8171451623317
5.76,11.2758638529342
5.78,10.6984701644297
5.8,10.0837639098914
5.82,9.43092568458888
5.84,8.73962401269376
5.86,8.01013401456433
5.88,7.24346718042891
5.9,6.44151527067124
5.92,5.60722336943035
5.94,4.7448445520958
5.96,3.86045039367801
5.98,2.96332901423823
6,2.0710958782044
6.02,1.23651834645913
6.04,0.745128199314419
6.06,1.17208407404793
6.08,1.98518848696005
6.1,2.85791951628424
6.12,3.73181213947755
6.14,4.58912118534311
6.16,5.42140871163699
6.18,6.22368547501143
6.2,6.99278449101252
6.22,7.72674144139754
6.24,8.42447872017035
6.26,9.08560028214541
6.28,9.71023673368393
6.3,10.2989199900885
6.32,10.8524797629342
6.34,11.3719583329139
6.36,11.8585413104134
6.38,12.313502392459
6.4,12.738160196759
6.42,13.1338453218046
6.44,13.5018759014178
6.46,13.8435400876788
6.48,14.1600840873877
6.5,14.4527045744892
6.52,14.7225444900414
6.54,14.9706914138449
6.56,15.1981778437324
6.58,15.4059828488026
6.6,15.5950346724949
6.62,15.7662139522607
6.64,15.920357297086
6.66,16.0582610246604
6.68,16.1806849088656
6.7,16.2883558275131
6.72,16.3819712316405
6.74,16.4622023826575
6.76,16.5296973234349
6.78,16.5850835650188
6.8,16.6289704828447
6.82,16.6619514257334
6.84,16.6846055480907
6.86,16.697499381005
6.88,16.7011881616661
6.9,16.696216942979
6.92,16.6831215066374
6.94,16.6624291034334
6.96,16.6346590443715
6.98,16.6003231653586
7,16.5599261869782
7.02,16.5139659892247
7.04,16.4629338191764
7.06,16.4073144474847
7.08,16.3475862873455
7.1,16.2842214873362
7.12,16.2176860072106
7.14,16.148439683486
7.16,16.0769362894571
7.18,16.0036235921702
7.2,15.9289434068912
7.22,15.8533316477362
7.24,15.7772183713963
7.26,15.7010278092982
7.28,15.6251783820994
7.3,15.5500826891247
7.32,15.4761474642165
7.34,15.4037734884984
7.36,15.3333554497457
7.38,15.2652817374267
7.4,15.1999341620375
7.42,15.137687587107
7.44,15.0789094622209
7.46,15.0239592456077
7.48,14.9731877052702
7.5,14.9269360883416
